Date,Close/Last,Volume,Open,High,Low
11/29/2019,$12.3805,4763820,$12.3376,$12.4039,$12.3288
11/27/2019,$12.4273,7920410,$12.3415,$12.4332,$12.3259
11/26/2019,$12.3162,11114105,$12.2869,$12.3259,$12.2128
11/25/2019,$12.0529,4418940,$12.0353,$12.0821,$12.01
11/22/2019,$11.9358,3054530,$12.0217,$12.0334,$11.93
11/21/2019,$11.9983,5769590,$11.9163,$12.0217,$11.889
11/20/2019,$11.9905,4298115,$12.0373,$12.0685,$11.9456
11/19/2019,$12.0724,7591950,$12.1387,$12.1543,$12.0431
11/18/2019,$12.1777,4249610,$12.2889,$12.2889,$12.1562
11/15/2019,$12.1036,1663480,$12.0919,$12.1309,$12.0373
11/14/2019,$12.0626,2156475,$12.0938,$12.1114,$11.9632
11/13/2019,$12.1484,5551140,$12.205,$12.205,$12.1367
11/12/2019,$12.1172,5386325,$12.0919,$12.1894,$12.0743
11/11/2019,$12.0373,7070610,$11.9749,$12.0685,$11.8968
11/08/2019,$11.7818,4710355,$11.7506,$11.813,$11.7311
11/07/2019,$11.7798,3425460,$11.7818,$11.8422,$11.7447
11/06/2019,$11.8442,2288705,$11.9046,$11.9358,$11.8344
11/05/2019,$11.9827,3319915,$12.0061,$12.008,$11.9017
11/04/2019,$12.008,3037280,$12.0529,$12.0626,$11.9632
11/01/2019,$11.9827,3075515,$11.9495,$12.0178,$11.9202
10/31/2019,$11.8637,3339165,$11.9124,$11.9144,$11.7818
10/30/2019,$11.9105,6421610,$11.7408,$12.047,$11.6745
10/29/2019,$11.5536,7504710,$11.4795,$11.5731,$11.4736
10/28/2019,$11.5185,4406700,$11.4775,$11.5614,$11.4463
10/25/2019,$11.4112,3432955,$11.3566,$11.4327,$11.3176
10/24/2019,$11.4346,3640955,$11.536,$11.536,$11.38
10/23/2019,$11.4249,2956415,$11.4619,$11.4697,$11.3586
10/22/2019,$11.5009,3250275,$11.6004,$11.6199,$11.4951
10/21/2019,$11.5419,2846785,$11.5926,$11.6199,$11.5282
10/18/2019,$11.5477,5453830,$11.6628,$11.6765,$11.4288
10/17/2019,$11.7096,3872960,$11.7077,$11.7506,$11.655
10/16/2019,$11.4912,3774505,$11.4093,$11.515,$11.4073
10/15/2019,$11.4093,4755300,$11.3488,$11.4436,$11.3404
10/14/2019,$11.2805,2334915,$11.3391,$11.3859,$11.2766
10/11/2019,$11.3391,6941610,$11.3118,$11.4892,$11.3118
10/10/2019,$11.1811,3641930,$11.144,$11.2259,$11.1294
10/09/2019,$11.2864,1667440,$11.2688,$11.3318,$11.2513
10/08/2019,$11.1577,3565660,$11.224,$11.2357,$11.1226
10/07/2019,$11.3254,3581860,$11.3313,$11.3898,$11.3254
10/04/2019,$11.458,3201895,$11.2903,$11.4785,$11.2903
10/03/2019,$11.2981,4185150,$11.185,$11.3118,$11.1167
10/02/2019,$11.0836,5081305,$11.1655,$11.1655,$11.0212
10/01/2019,$11.304,5001080,$11.4093,$11.499,$11.2435
